Week_Ending,Sales,Discount1,Discount2,Total SKU,Gasoline Price,Average Price,Email Clicks,Organic Search Impressions,Modular Video Impressions,Paid Social Impressions,Paid Search Impressions
05-02-2022 00:00,"5,54,97,076.10",0,0,"2,98,82,443.50","1,070.90",17.7,"5,34,418.50","26,62,747.50","1,15,99,332.50","28,04,64,068.50","6,779.50"
12-02-2022 00:00,"5,77,37,793.80",0,0,"2,97,19,511.50","1,070.90",17.7,"6,31,368.50","26,09,978.00","1,31,42,160.50","23,50,58,652.50","5,110.00"
19-02-2022 00:00,"5,40,44,453.10",0.1,0,"2,93,53,173.50","1,070.90",17.8,"6,38,092.00","24,01,283.50","1,29,49,660.50","25,74,80,818.00","2,842.00"
26-02-2022 00:00,"5,57,75,814.80",0.1,0,"2,93,24,354.50","1,070.90",17.8,"5,38,643.00","23,96,597.00","1,24,01,567.50","27,68,92,035.00","3,031.00"
05-03-2022 00:00,"5,83,92,060.60",0,0,"2,91,92,688.00","1,282.70",17.8,"6,39,628.50","24,27,106.50","88,57,677.50","19,30,81,850.50","3,395.00"
12-03-2022 00:00,"5,47,14,035.80",0,0,"2,91,13,087.50","1,282.70",17.9,"6,46,723.00","24,09,449.00","86,99,768.00","21,19,36,854.50","2,751.00"
19-03-2022 00:00,"5,37,83,462.80",0.1,0,"2,89,85,572.00","1,282.70",17.8,"5,73,993.00","22,31,575.50","85,02,826.50","19,84,08,903.00","2,796.50"
26-03-2022 00:00,"5,38,99,402.60",0.1,0,"2,91,35,624.00","1,282.70",17.8,"5,10,853.00","21,99,309.00","1,05,27,727.00","18,42,59,376.00","3,388.00"
02-04-2022 00:00,"5,55,04,836.90",0.1,0,"2,93,19,353.00","1,282.70",17.9,"4,89,646.50","21,59,164.00","2,00,00,603.00","21,42,73,584.00","3,678.50"
09-04-2022 00:00,"5,43,67,228.40",0,0,"2,93,89,454.50","1,269.80",18,"4,50,068.50","21,27,951.00","1,29,83,911.50","17,58,07,250.50","3,843.00"
16-04-2022 00:00,"5,27,51,924.70",0,0,"2,92,33,848.00","1,269.80",17.9,"7,19,838.00","19,93,950.00","1,27,65,256.00","18,10,68,408.50","3,731.00"
23-04-2022 00:00,"4,74,32,557.70",0,0,"2,92,57,833.50","1,269.80",17.9,"8,07,184.00","19,88,577.50","1,19,42,808.50","19,12,29,993.50","3,468.50"
30-04-2022 00:00,"4,95,98,271.60",0,0.1,"2,92,33,662.50","1,269.80",17.9,"5,08,336.50","20,81,488.50","1,24,03,513.50","20,31,25,104.00","5,299.00"
07-05-2022 00:00,"4,85,41,154.60",0,0,"2,95,70,716.00","1,369.40",18,"4,41,637.00","20,24,760.50","91,80,738.00","23,83,46,825.50","3,580.50"
14-05-2022 00:00,"4,48,84,072.80",0,0,"2,98,28,225.00","1,369.40",18,"5,98,846.50","19,16,019.00","89,93,596.50","20,86,59,986.50","4,364.50"
21-05-2022 00:00,"4,63,07,553.30",0,0,"2,97,21,709.50","1,369.40",18,"5,30,236.00","19,16,925.50","88,47,769.00","22,45,04,997.50","6,503.00"
28-05-2022 00:00,"4,51,82,748.60",0,0,"2,97,48,946.50","1,369.40",17.9,"3,35,629.00","18,51,549.00","87,50,108.50","27,43,12,321.50","3,675.00"
04-06-2022 00:00,"4,31,51,946.90",0,0,"2,98,30,363.50","1,505.50",18,"5,16,215.00","17,74,451.00","1,14,32,291.50","17,20,14,052.00","2,114.00"
11-06-2022 00:00,"4,70,33,839.60",0,0,"3,00,06,770.50","1,505.50",18,"7,02,425.50","19,95,388.50","1,16,90,777.00","18,08,26,740.50","2,341.50"
18-06-2022 00:00,"4,58,59,338.80",0.1,0.2,"3,01,07,238.00","1,505.50",18,"5,59,825.00","19,30,096.00","1,14,93,660.50","16,27,34,316.50","3,097.50"
25-06-2022 00:00,"4,43,63,087.40",0.1,0.2,"3,03,00,263.00","1,505.50",18,"3,75,571.00","18,72,598.00","1,13,47,483.00","17,81,22,609.00","2,096.50"
02-07-2022 00:00,"4,45,23,836.10",0.1,0,"3,07,55,466.00","1,505.50",18,"3,91,979.00","18,28,725.50","1,12,89,026.00","16,92,12,543.50","1,977.50"
09-07-2022 00:00,"4,03,42,186.50",0.1,0,"3,09,83,221.50","1,389.30",18.1,"4,65,937.50","17,17,128.00","68,83,544.50","17,97,27,096.50","2,093.00"
16-07-2022 00:00,"4,55,40,900.50",0.1,0,"3,10,27,678.50","1,389.30",18.1,"5,92,298.00","22,48,883.00","1,10,12,431.50","33,22,73,889.50","1,708.00"
23-07-2022 00:00,"4,49,54,474.10",0,0,"3,10,99,047.00","1,389.30",18,"4,93,948.00","21,81,700.50","1,75,04,123.00","32,79,71,063.00","1,351.00"
30-07-2022 00:00,"4,62,08,968.90",0.2,0,"3,08,00,626.50","1,389.30",18,"4,40,020.00","25,48,490.00","1,68,44,005.50","34,04,60,207.50","1,025.50"
06-08-2022 00:00,"4,73,62,797.80",0.1,0,"3,04,92,798.00","1,220.10",18,"2,85,698.00","28,04,620.00","2,31,91,007.00","31,36,02,110.50","1,424.50"
13-08-2022 00:00,"4,72,48,627.10",0.1,0,"3,00,32,373.00","1,220.10",18,"5,09,120.50","30,43,743.50","2,50,27,219.00","32,76,24,426.50","1,291.50"
20-08-2022 00:00,"4,88,76,906.40",0.1,0,"2,98,47,048.00","1,220.10",18,"4,49,480.50","31,10,656.50","2,37,67,551.50","31,77,95,656.50","2,170.00"
27-08-2022 00:00,"5,05,34,987.50",0,0,"2,89,78,089.00","1,220.10",18,"3,18,776.50","31,25,528.00","2,39,14,198.00","32,70,35,219.00","2,058.00"
03-09-2022 00:00,"5,09,90,215.40",0,0,"2,88,40,675.50","1,151.20",18,"3,91,468.00","28,84,549.50","2,16,61,444.00","31,12,47,667.50","1,690.50"
10-09-2022 00:00,"4,88,93,005.60",0,0,"2,87,16,782.50","1,151.20",18,"4,80,014.50","25,03,378.50","2,06,66,310.00","32,96,17,148.00","1,232.00"
17-09-2022 00:00,"5,09,24,880.50",0,0,"2,85,15,452.00","1,151.20",18.1,"3,04,346.00","23,62,769.50","2,05,74,928.50","29,99,77,471.50","1,267.00"
24-09-2022 00:00,"4,89,61,270.40",0,0,"2,86,63,831.00","1,151.20",18.1,"5,84,045.00","22,23,620.00","76,47,276.00","18,55,01,620.50","1,130.50"
01-10-2022 00:00,"4,83,43,022.00",0,0,"2,90,27,348.00","1,151.20",18.1,"6,82,699.50","20,87,130.50","92,68,084.00","18,61,82,682.00","1,319.50"
08-10-2022 00:00,"4,97,26,311.40",0,0,"2,93,23,686.00","1,186.60",18.2,"6,07,225.50","19,48,166.50","91,04,291.00","15,38,19,673.00","1,102.50"
15-10-2022 00:00,"4,83,99,373.50",0,0,"2,95,12,010.50","1,186.60",18.2,"6,26,328.50","19,01,466.00","1,32,23,371.00","15,14,37,961.50",983.5
22-10-2022 00:00,"4,90,07,663.20",0,0,"2,95,61,059.50","1,186.60",18.1,"5,27,005.50","20,89,241.00","91,94,636.50","16,20,65,172.50","1,232.00"
29-10-2022 00:00,"4,89,12,828.10",0,0,"2,96,55,563.00","1,186.60",18.2,"3,05,347.00","21,74,238.50","1,24,11,577.50","18,02,96,025.00","1,330.00"
05-11-2022 00:00,"4,87,66,385.00",0,0,"2,96,17,346.50","1,143.30",18.2,"3,41,260.50","21,80,682.00","1,18,93,882.00","19,39,07,318.50",973
12-11-2022 00:00,"4,82,08,276.40",0,0,"2,94,03,923.50","1,143.30",18.2,"6,49,747.00","23,42,973.50","1,19,89,474.00","19,32,28,934.50","1,330.00"
19-11-2022 00:00,"4,85,64,722.40",0,0,"2,93,52,680.00","1,143.30",18.2,"5,28,461.50","24,49,608.00","1,19,25,193.00","21,44,21,959.50","1,540.00"
26-11-2022 00:00,"3,44,40,052.10",0,0,"2,93,70,250.00","1,143.30",18.1,"12,54,225.00","20,32,915.50","1,14,70,452.00","20,79,48,002.50","1,631.00"
03-12-2022 00:00,"5,22,74,636.50",0,0.1,"2,89,34,279.50","1,000.10",18.1,"4,33,174.00","24,44,519.00","1,18,40,360.00","18,53,79,337.50","1,578.50"
10-12-2022 00:00,"5,16,79,295.90",0,0.1,"2,87,36,981.00","1,000.10",18.1,"5,84,129.00","23,11,372.00","1,16,34,402.50","20,95,31,392.00","1,536.50"
17-12-2022 00:00,"5,02,86,117.30",0,0,"2,84,21,071.00","1,000.10",18.1,"4,00,316.00","22,81,849.50","1,01,50,738.50","18,99,98,329.50","1,911.00"
24-12-2022 00:00,"4,32,43,753.20",0,0,"2,83,16,547.00","1,000.10",18.1,"3,33,014.50","19,46,206.50","83,41,973.50","20,12,85,045.50","1,998.50"
31-12-2022 00:00,"4,00,51,988.80",0,0,"2,82,85,386.50","1,000.10",18.1,"4,47,216.00","17,36,700.00","83,09,430.50","23,19,97,685.50","2,103.50"
07-01-2023 00:00,"5,20,49,249.40",0,0.1,"2,71,48,348.50","1,031.70",18.2,"4,56,424.50","22,32,608.00","86,26,803.50","29,12,03,346.00","3,426.50"
14-01-2023 00:00,"5,46,33,889.30",0,0.3,"2,70,38,105.50","1,031.70",18.2,"6,19,423.00","23,80,784.00","1,24,12,435.00","30,45,74,973.50","3,944.50"
21-01-2023 00:00,"5,33,39,373.40",0,0.2,"2,67,41,687.00","1,031.70",18.2,"4,80,462.50","22,50,776.50","2,46,60,086.50","32,71,72,811.00","3,699.50"
28-01-2023 00:00,"5,38,40,044.70",0,0.1,"2,64,15,207.00","1,031.70",18.1,"4,52,368.00","22,99,244.50","2,58,47,678.50","28,82,55,233.00","3,787.00"
04-02-2023 00:00,"5,38,12,930.00",0,0.1,"2,61,19,733.50","1,049.20",18.2,"3,75,994.50","22,68,717.50","1,49,78,572.00","36,38,79,351.50","3,811.50"
11-02-2023 00:00,"5,35,91,949.40",0,0,"2,59,09,800.00","1,049.20",18.2,"4,56,624.00","21,85,459.50","2,04,13,788.50","35,79,92,659.50","4,186.00"
18-02-2023 00:00,"5,07,11,016.50",0.1,0,"2,57,34,177.00","1,049.20",18.2,"3,75,571.00","20,67,814.00","2,03,70,444.50","36,89,92,494.50","4,567.50"
25-02-2023 00:00,"5,12,82,389.60",0.1,0,"2,57,18,808.50","1,049.20",18.2,"3,32,531.50","20,65,595.00","1,89,06,468.00","29,02,16,118.50","4,518.50"
04-03-2023 00:00,"5,46,53,840.50",0,0,"2,62,06,586.00","1,059.40",18.2,"3,17,464.00","20,80,624.00","1,01,58,792.00","29,50,44,872.50","4,287.50"
11-03-2023 00:00,"5,34,91,357.80",0,0,"2,62,16,764.00","1,059.40",18.2,"4,52,690.00","20,62,581.50","1,82,55,020.00","31,15,48,573.00","3,899.00"
